glucose_level,meal,food_type,food_amount,exercise_duration,medication,body_temp,heart_rate,time_of_day,insulin_required
187,lunch,fats,135,82,no,37.0,104,evening,11.0
91,dinner,fats,257,55,no,37.0,104,night,7.3
249,dinner,carbs,235,15,yes,35.9,62,night,12.5
210,dinner,protein,387,76,no,36.8,89,afternoon,6.2
203,dinner,fats,112,38,yes,37.4,88,morning,2.7
178,dinner,fats,149,57,yes,37.2,113,evening,10.0
125,breakfast,fats,105,70,no,35.8,113,evening,11.4
183,snack,mixed,431,81,no,36.3,116,evening,10.9
218,dinner,fats,588,5,no,37.4,84,morning,2.1
120,dinner,mixed,134,0,no,36.7,77,night,6.1
127,snack,mixed,457,27,yes,36.9,87,morning,17.8
164,dinner,carbs,271,85,no,35.9,79,morning,9.1
84,breakfast,protein,273,18,no,35.1,109,afternoon,5.8
96,breakfast,protein,430,49,yes,36.2,87,night,7.1
88,dinner,fats,406,31,no,37.4,89,night,12.2
115,snack,protein,257,4,no,36.3,74,morning,4.1
131,dinner,protein,208,76,yes,35.9,71,morning,17.4
92,breakfast,mixed,235,62,no,36.7,118,night,10.5
72,snack,fats,454,1,no,35.5,74,evening,10.5
86,breakfast,mixed,325,54,no,37.1,119,morning,12.8
159,snack,mixed,369,27,yes,36.5,60,night,11.2
210,dinner,carbs,364,87,no,36.6,81,night,12.4
118,lunch,carbs,318,71,yes,36.5,95,night,3.2
124,lunch,protein,290,37,yes,36.2,104,morning,7.2
243,snack,fats,547,8,no,36.9,90,morning,2.6
188,dinner,carbs,233,72,no,37.1,66,morning,13.4
89,snack,carbs,367,62,yes,36.6,78,evening,5.9
125,dinner,carbs,451,31,no,36.2,63,evening,3.3
138,dinner,protein,375,57,yes,37.1,67,morning,6.0
203,lunch,carbs,286,0,no,37.5,109,afternoon,19.3
213,lunch,fats,223,52,yes,36.2,87,evening,11.7
172,snack,mixed,108,55,no,37.1,115,afternoon,5.7
109,lunch,fats,544,50,yes,36.4,107,night,5.5
206,breakfast,fats,123,59,yes,35.3,75,night,4.5
100,snack,mixed,376,52,yes,36.7,94,evening,13.9
217,dinner,mixed,198,24,yes,36.7,106,night,14.1
238,lunch,carbs,382,46,no,35.5,81,evening,8.9
179,breakfast,protein,461,68,no,36.4,60,morning,15.1
